method,metric,value
certifai,target valid,0.7
mad,target valid,1.0
mobj,target valid,1.0
certifai,IM1,2.7564041936354946
certifai,IM2,0.023002425723157947
mad,IM1,0.3508039273809297
mad,IM2,0.02895071093644209
mobj,IM1,0.15706712263757228
mobj,IM2,0.012831141410192074
mobj,continuous proximity,0.24390371830037388
mobj,categorical proximity,5.8
mad,continuous proximity,0.4807660050321499
mad,categorical proximity,3.0
certifai,continuous proximity,0.23462632722572205
certifai,categorical proximity,3.2
certifai,causal validity,0.8571428571428571
mad,causal validity,1.0
mobj,causal validity,1.0
