method,metric,value,n_instance
mobj,target valid,1.0,5.0
mobj,continuous proximity,0.09212294989040629,5.0
mobj,causal validity,0.5,5.0
mobj,IM1,0.24702260655179198,5.0
mobj,IM2,0.006494702011313143,5.0
mobj,target valid,1.0,10.0
mobj,continuous proximity,0.08885467928554054,10.0
mobj,causal validity,0.4,10.0
mobj,IM1,0.23836014256167407,10.0
mobj,IM2,0.00493406514038093,10.0
mobj,target valid,1.0,15.0
mobj,continuous proximity,0.09102205937147383,15.0
mobj,causal validity,0.2,15.0
mobj,IM1,0.21521700866633928,15.0
mobj,IM2,0.004294080844349337,15.0
mobj,target valid,1.0,20.0
mobj,continuous proximity,0.0909260594044158,20.0
mobj,causal validity,0.2,20.0
mobj,IM1,0.22287173322329096,20.0
mobj,IM2,0.0034243619894446242,20.0
mobj,target valid,1.0,25.0
mobj,continuous proximity,0.0846386153837834,25.0
mobj,causal validity,0.6,25.0
mobj,IM1,0.3004524142137361,25.0
mobj,IM2,0.0057710762094869035,25.0
mobj,target valid,1.0,30.0
mobj,continuous proximity,0.0909354797051966,30.0
mobj,causal validity,0.6,30.0
mobj,IM1,0.22828120446781958,30.0
mobj,IM2,0.006137390175682973,30.0
mobj,target valid,1.0,35.0
mobj,continuous proximity,0.08899468049403284,35.0
mobj,causal validity,0.6,35.0
mobj,IM1,0.22841306164449132,35.0
mobj,IM2,0.0043746542606118285,35.0
mobj,target valid,1.0,40.0
mobj,continuous proximity,0.0939606573128746,40.0
mobj,causal validity,0.4,40.0
mobj,IM1,0.2396962319738037,40.0
mobj,IM2,0.004072451898142375,40.0
mobj,target valid,1.0,45.0
mobj,continuous proximity,0.09236229053057005,45.0
mobj,causal validity,0.5,45.0
mobj,IM1,0.21599055598427008,45.0
mobj,IM2,0.005089973124255597,45.0
