method,metric,value
mobj,target valid,1.0
mobj,continuous proximity,0.11682854865807259
mobj,causal validity,0.0
mobj,IM1,2.8028634924505287
mobj,IM2,0.06270116291571029
mobj,target valid,1.0
mobj,continuous proximity,0.09856997595868246
mobj,causal validity,0.0
mobj,IM1,1.3874155413939169
mobj,IM2,0.028650080342154462
mobj,target valid,1.0
mobj,continuous proximity,0.09628877035182076
mobj,causal validity,0.3333333333333333
mobj,IM1,0.7483942567315093
mobj,IM2,0.011510594870189577
mobj,target valid,1.0
mobj,continuous proximity,0.094398033582767
mobj,causal validity,0.5
mobj,IM1,0.6198435311303967
mobj,IM2,0.013874497545441187
mobj,target valid,1.0
mobj,continuous proximity,0.09546979667133296
mobj,causal validity,0.6
mobj,IM1,0.5046198044362621
mobj,IM2,0.008206326109770446
mobj,target valid,1.0
mobj,continuous proximity,0.09231550139600198
mobj,causal validity,0.5
mobj,IM1,0.477390049601259
mobj,IM2,0.008034850901437096
mobj,target valid,1.0
mobj,continuous proximity,0.09282656853965153
mobj,causal validity,0.42857142857142855
mobj,IM1,0.37224607785534625
mobj,IM2,0.0063563852523321465
mobj,target valid,1.0
mobj,continuous proximity,0.08870928858631676
mobj,causal validity,0.375
mobj,IM1,0.3657657707494502
mobj,IM2,0.003486306440734948
mobj,target valid,1.0
mobj,continuous proximity,0.08776244081903359
mobj,causal validity,0.4444444444444444
mobj,IM1,0.33533852267735853
mobj,IM2,0.005105069100911441
mobj,target valid,1.0
mobj,continuous proximity,0.08885467928554054
mobj,causal validity,0.4
mobj,IM1,0.23836014256167407
mobj,IM2,0.00493406514038093
mobj,target valid,1.0
mobj,continuous proximity,0.0913446093668225
mobj,causal validity,0.45454545454545453
mobj,IM1,0.21105579300329583
mobj,IM2,0.007366692371607137
mobj,target valid,1.0
mobj,continuous proximity,0.09203253811397596
mobj,causal validity,0.4166666666666667
mobj,IM1,0.17420254149047876
mobj,IM2,0.006029690851647273
mobj,target valid,1.0
mobj,continuous proximity,0.09142619166895473
mobj,causal validity,0.38461538461538464
mobj,IM1,0.2244173312727509
mobj,IM2,0.004568689911013392
mobj,target valid,1.0
mobj,continuous proximity,0.09166537135688108
mobj,causal validity,0.42857142857142855
mobj,IM1,0.1617613057692479
mobj,IM2,0.004099874131052074
mobj,target valid,1.0
mobj,continuous proximity,0.0911889303538245
mobj,causal validity,0.4
mobj,IM1,0.15293030443158223
mobj,IM2,0.003898813652985524
mobj,target valid,1.0
mobj,continuous proximity,0.09098429196053658
mobj,causal validity,0.4375
mobj,IM1,0.15410580823817194
mobj,IM2,0.0029543543660164196
mobj,target valid,1.0
mobj,continuous proximity,0.09113848734426135
mobj,causal validity,0.4117647058823529
mobj,IM1,0.1199591854763567
mobj,IM2,0.003075462781657256
mobj,target valid,1.0
mobj,continuous proximity,0.09033896384623676
mobj,causal validity,0.3888888888888889
mobj,IM1,0.17128023570978235
mobj,IM2,0.0031470757942808378
mobj,target valid,1.0
mobj,continuous proximity,0.0904581455945682
mobj,causal validity,0.42105263157894735
mobj,IM1,0.1313239812515874
mobj,IM2,0.00249543555564508
mobj,target valid,1.0
mobj,continuous proximity,0.08892233127402728
mobj,causal validity,0.45
mobj,IM1,0.09506082137851044
mobj,IM2,0.0019705670701794147
mobj,target valid,1.0
mobj,continuous proximity,0.08908089107505138
mobj,causal validity,0.42857142857142855
mobj,IM1,0.12489968004125067
mobj,IM2,0.0029786784596309034
mobj,target valid,1.0
mobj,continuous proximity,0.08935733647616566
mobj,causal validity,0.45454545454545453
mobj,IM1,0.1177348783330418
mobj,IM2,0.0013023117566462537
mobj,target valid,1.0
mobj,continuous proximity,0.08799794433252829
mobj,causal validity,0.4782608695652174
mobj,IM1,0.1087518097192444
mobj,IM2,0.002425199685494493
mobj,target valid,1.0
mobj,continuous proximity,0.08872295987637727
mobj,causal validity,0.5
mobj,IM1,0.14222696015276268
mobj,IM2,0.002000326931789004
mobj,target valid,1.0
mobj,continuous proximity,0.08796228788864396
mobj,causal validity,0.48
mobj,IM1,0.12003795965334751
mobj,IM2,0.0013619251525876224
mobj,target valid,1.0
mobj,continuous proximity,0.08874415207693802
mobj,causal validity,0.46153846153846156
mobj,IM1,0.09138884518439053
mobj,IM2,0.0034376429336926
mobj,target valid,1.0
mobj,continuous proximity,0.08930919449422643
mobj,causal validity,0.48148148148148145
mobj,IM1,0.10982918591867465
mobj,IM2,0.0018446410626791097
mobj,target valid,1.0
mobj,continuous proximity,0.08971167389910512
mobj,causal validity,0.4642857142857143
mobj,IM1,0.09630819182945778
mobj,IM2,0.002245895953477754
mobj,target valid,1.0
mobj,continuous proximity,0.08945071948462152
mobj,causal validity,0.4482758620689655
mobj,IM1,0.07419988838370072
mobj,IM2,0.0012967503066276575
mobj,target valid,1.0
mobj,continuous proximity,0.08896353107881343
mobj,causal validity,0.43333333333333335
mobj,IM1,0.08155569290681203
mobj,IM2,0.0011375522805517522
mobj,target valid,1.0
mobj,continuous proximity,0.08817424754799683
mobj,causal validity,0.41935483870967744
mobj,IM1,0.13286724328034777
mobj,IM2,0.0015038310398114698
mobj,target valid,1.0
mobj,continuous proximity,0.08879594328101649
mobj,causal validity,0.4375
mobj,IM1,0.08923756950874169
mobj,IM2,0.0023035213000144657
mobj,target valid,1.0
mobj,continuous proximity,0.08898160517927153
mobj,causal validity,0.45454545454545453
mobj,IM1,0.07344673943932774
mobj,IM2,0.0014533075472328847
mobj,target valid,1.0
mobj,continuous proximity,0.08970299815845625
mobj,causal validity,0.4411764705882353
mobj,IM1,0.0783525287827563
mobj,IM2,0.001362415171303732
mobj,target valid,1.0
