method,metric,value
mobj,target valid,1.0
mobj,continuous proximity,0.037997425507100835
mobj,causal validity,1.0
mobj,IM1,0.6524947298588983
mobj,IM2,0.05049584571022671
mobj,target valid,1.0
mobj,continuous proximity,0.028875529647732157
mobj,causal validity,1.0
mobj,IM1,0.43842942626774634
mobj,IM2,0.028461211009204124
mobj,target valid,1.0
mobj,continuous proximity,0.026997605760203203
mobj,causal validity,1.0
mobj,IM1,0.263200707396061
mobj,IM2,0.017750873886744192
mobj,target valid,1.0
mobj,continuous proximity,0.026518558088182157
mobj,causal validity,1.0
mobj,IM1,0.3689485493790958
mobj,IM2,0.017664538060651384
mobj,target valid,1.0
mobj,continuous proximity,0.02525999118860681
mobj,causal validity,1.0
mobj,IM1,0.09497142034017575
mobj,IM2,0.007305598748840537
mobj,target valid,1.0
mobj,continuous proximity,0.03102180665182187
mobj,causal validity,1.0
mobj,IM1,0.1984416305400641
mobj,IM2,0.028156323715202353
mobj,target valid,1.0
mobj,continuous proximity,0.030995564328592698
mobj,causal validity,1.0
mobj,IM1,0.13681600156979037
mobj,IM2,0.015031584540773055
mobj,target valid,1.0
mobj,continuous proximity,0.028765317094499393
mobj,causal validity,1.0
mobj,IM1,0.07016118878869712
mobj,IM2,0.00373599301191157
mobj,target valid,1.0
mobj,continuous proximity,0.02926791014082464
mobj,causal validity,1.0
mobj,IM1,0.1602662101512345
mobj,IM2,0.03307692375625097
mobj,target valid,1.0
mobj,continuous proximity,0.027234595691936897
mobj,causal validity,1.0
mobj,IM1,0.03860794571241786
mobj,IM2,0.002872925347127907
mobj,target valid,1.0
mobj,continuous proximity,0.026793183934163276
mobj,causal validity,1.0
mobj,IM1,0.09707851687049111
mobj,IM2,0.010037681743829768
mobj,target valid,1.0
mobj,continuous proximity,0.027531993227165416
mobj,causal validity,1.0
mobj,IM1,0.03134388998805087
mobj,IM2,0.002719139077328275
mobj,target valid,1.0
mobj,continuous proximity,0.02647262427097381
mobj,causal validity,1.0
mobj,IM1,0.09339683439443167
mobj,IM2,0.013623544493158037
mobj,target valid,1.0
mobj,continuous proximity,0.02502053295039765
mobj,causal validity,1.0
mobj,IM1,0.09601980929385137
mobj,IM2,0.004035667361336743
mobj,target valid,1.0
mobj,continuous proximity,0.025069689965744265
mobj,causal validity,1.0
mobj,IM1,0.08484033755271268
mobj,IM2,0.0088748430869206
mobj,target valid,1.0
mobj,continuous proximity,0.02526691033919805
mobj,causal validity,1.0
mobj,IM1,0.09221979870359356
mobj,IM2,0.024698313089715988
mobj,target valid,1.0
mobj,continuous proximity,0.02504721844624731
mobj,causal validity,1.0
mobj,IM1,0.025358126396507356
mobj,IM2,0.0025790068156175696
mobj,target valid,1.0
mobj,continuous proximity,0.02440710327580614
mobj,causal validity,1.0
mobj,IM1,0.009367396322136947
mobj,IM2,0.00044840835127084636
mobj,target valid,1.0
mobj,continuous proximity,0.02423413498497706
mobj,causal validity,1.0
mobj,IM1,0.038244498701633434
mobj,IM2,0.002455910868803612
mobj,target valid,1.0
mobj,continuous proximity,0.024265758610559535
mobj,causal validity,1.0
mobj,IM1,0.04337005181534331
mobj,IM2,0.00418082347551765
mobj,target valid,1.0
mobj,continuous proximity,0.02395962286330419
mobj,causal validity,1.0
mobj,IM1,0.02976515152415383
mobj,IM2,0.0018445536221813495
mobj,target valid,1.0
mobj,continuous proximity,0.024828128171190195
mobj,causal validity,1.0
mobj,IM1,0.02512660616348761
mobj,IM2,0.0017723556472736236
mobj,target valid,1.0
mobj,continuous proximity,0.02464726203870958
mobj,causal validity,1.0
mobj,IM1,0.054608483377675265
mobj,IM2,0.00774551724956157
mobj,target valid,1.0
mobj,continuous proximity,0.024499596867917795
mobj,causal validity,1.0
mobj,IM1,0.02706591821457467
mobj,IM2,0.0014148975396242266
mobj,target valid,1.0
mobj,continuous proximity,0.024785563015786133
mobj,causal validity,1.0
mobj,IM1,0.033014521420293375
mobj,IM2,0.0022828613615547117
mobj,target valid,1.0
mobj,continuous proximity,0.024598629045796388
mobj,causal validity,1.0
mobj,IM1,0.046310044527833785
mobj,IM2,0.0056975830099141025
mobj,target valid,1.0
mobj,continuous proximity,0.02481625946687314
mobj,causal validity,1.0
mobj,IM1,0.012151343309372228
mobj,IM2,0.0010334067173251964
mobj,target valid,1.0
mobj,continuous proximity,0.025119383973566767
mobj,causal validity,1.0
mobj,IM1,0.030535919387885684
mobj,IM2,0.005016535445430182
mobj,target valid,1.0
mobj,continuous proximity,0.02514256214337113
mobj,causal validity,1.0
mobj,IM1,0.026074182908809074
mobj,IM2,0.001380729398381016
mobj,target valid,1.0
mobj,continuous proximity,0.025322987524234453
mobj,causal validity,1.0
mobj,IM1,0.04078371500010096
mobj,IM2,0.002425457578086191
mobj,target valid,1.0
mobj,continuous proximity,0.025154527989564163
mobj,causal validity,1.0
mobj,IM1,0.04038063204592507
mobj,IM2,0.008720392929694456
mobj,target valid,1.0
mobj,continuous proximity,0.024815161345343506
mobj,causal validity,1.0
mobj,IM1,0.022497025542755754
mobj,IM2,0.0014393272687089273
mobj,target valid,1.0
mobj,continuous proximity,0.02520977514774413
mobj,causal validity,1.0
mobj,IM1,0.03587643644895231
mobj,IM2,0.004066790520866697
mobj,target valid,1.0
mobj,continuous proximity,0.026327582611301914
mobj,causal validity,1.0
mobj,IM1,0.025738259307872796
mobj,IM2,0.0030935611259136687
mobj,target valid,1.0
mobj,continuous proximity,0.026860988689382703
mobj,causal validity,1.0
mobj,IM1,0.04634692392133718
mobj,IM2,0.008939474811774128
mobj,target valid,1.0
mobj,continuous proximity,0.02679744881724001
