method,metric,value,emb_size
mobj,target valid,1.0,32.0
mobj,categorical proximity,4.0,32.0
mobj,continuous proximity,0.25342600519512476,32.0
mobj,causal validity,1.0,32.0
mobj,IM1,0.09852529910242089,32.0
mobj,IM2,0.007686830310056956,32.0
mobj,target valid,1.0,64.0
mobj,categorical proximity,3.9,64.0
mobj,continuous proximity,0.2371019082212476,64.0
mobj,causal validity,1.0,64.0
mobj,IM1,0.07155904656103326,64.0
mobj,IM2,0.00022704302261363347,64.0
mobj,target valid,1.0,128.0
mobj,categorical proximity,4.0,128.0
mobj,continuous proximity,0.20178637612691783,128.0
mobj,causal validity,1.0,128.0
mobj,IM1,0.08741046681424372,128.0
mobj,IM2,0.0001792920705677284,128.0
mobj,target valid,1.0,256.0
mobj,categorical proximity,4.0,256.0
mobj,continuous proximity,0.26244923048846835,256.0
mobj,causal validity,1.0,256.0
mobj,IM1,0.09899323727208906,256.0
mobj,IM2,0.00015139947788283707,256.0
mobj,target valid,1.0,512.0
mobj,categorical proximity,4.1,512.0
mobj,continuous proximity,0.24441731149948565,512.0
mobj,causal validity,1.0,512.0
mobj,IM1,0.060518778617212464,512.0
mobj,IM2,0.00046331821543430657,512.0
