method,metric,value,emb_size
mobj,target valid,1.0,32.0
mobj,continuous proximity,0.09248166870985124,32.0
mobj,causal validity,0.2,32.0
mobj,IM1,0.3758847440268645,32.0
mobj,IM2,0.004887834006973302,32.0
mobj,target valid,1.0,64.0
mobj,continuous proximity,0.08189927305630709,64.0
mobj,causal validity,0.5,64.0
mobj,IM1,0.2405612492190207,64.0
mobj,IM2,0.005376467591836024,64.0
mobj,target valid,1.0,128.0
mobj,continuous proximity,0.08731740268106541,128.0
mobj,causal validity,0.0,128.0
mobj,IM1,0.224631690732851,128.0
mobj,IM2,0.00419274387523163,128.0
mobj,target valid,1.0,256.0
mobj,continuous proximity,0.09650713993873285,256.0
mobj,causal validity,0.4,256.0
mobj,IM1,0.24260445123364427,256.0
mobj,IM2,0.00453598295694625,256.0
mobj,target valid,1.0,512.0
mobj,continuous proximity,0.08919720317641508,512.0
mobj,causal validity,0.4,512.0
mobj,IM1,0.23700473232954558,512.0
mobj,IM2,0.005073316747164154,512.0
