method,metric,value,emb_size
mobj,target valid,1.0,32.0
mobj,continuous proximity,0.028573011654562924,32.0
mobj,causal validity,1.0,32.0
mobj,IM1,0.04667856891898179,32.0
mobj,IM2,0.004031286432752774,32.0
mobj,target valid,1.0,64.0
mobj,continuous proximity,0.02942656417088167,64.0
mobj,causal validity,1.0,64.0
mobj,IM1,0.0421142560992656,64.0
mobj,IM2,0.003647331664114655,64.0
mobj,target valid,1.0,128.0
mobj,continuous proximity,0.026174384617489915,128.0
mobj,causal validity,1.0,128.0
mobj,IM1,0.041486897604586646,128.0
mobj,IM2,0.0034304165413030904,128.0
mobj,target valid,1.0,256.0
mobj,continuous proximity,0.023857235928005885,256.0
mobj,causal validity,1.0,256.0
mobj,IM1,0.038751721521932826,256.0
mobj,IM2,0.002984072624602629,256.0
mobj,target valid,1.0,512.0
mobj,continuous proximity,0.027234595691936897,512.0
mobj,causal validity,1.0,512.0
mobj,IM1,0.03860794571241786,512.0
mobj,IM2,0.002872925347127907,512.0
