method,metric,value,emb_size
mobj,target valid,1.0,32.0
mobj,continuous proximity,0.028573011654562924,32.0
mobj,causal validity,1.0,32.0
mobj,IM1,0.04940957356043318,32.0
mobj,IM2,0.003982896895680899,32.0
mobj,target valid,1.0,64.0
mobj,continuous proximity,0.02942656417088167,64.0
mobj,causal validity,1.0,64.0
mobj,IM1,0.05692005400513543,64.0
mobj,IM2,0.0038195859049262987,64.0
mobj,target valid,1.0,128.0
mobj,continuous proximity,0.026174384617489915,128.0
mobj,causal validity,1.0,128.0
mobj,IM1,0.055885210449112474,128.0
mobj,IM2,0.0035221286528952485,128.0
mobj,target valid,1.0,256.0
mobj,continuous proximity,0.023857235928005885,256.0
mobj,causal validity,1.0,256.0
mobj,IM1,0.05677006516357069,256.0
mobj,IM2,0.003507302825608672,256.0
mobj,target valid,1.0,512.0
mobj,continuous proximity,0.027234595691936897,512.0
mobj,causal validity,1.0,512.0
mobj,IM1,0.05715709072003272,512.0
mobj,IM2,0.0035005751274315086,512.0
