value,metric,method
0.08313100185266452,IM2,cer
0.07914373648279846,IM2,cer
0.09379926821488818,IM2,cer
0.09483697487562637,IM2,cer
0.11341112308500693,IM2,cer
0.09221305180967578,IM2,cer
0.11558158374622442,IM2,cer
0.14455218996721397,IM2,cer
0.09948501001079721,IM2,cer
0.08549803754049377,IM2,cer
0.13630612369918715,IM2,mad
0.1157781624491112,IM2,mad
0.09978405410615833,IM2,mad
0.08873407160253459,IM2,mad
0.09728546345610366,IM2,mad
0.12257199651342195,IM2,mad
0.13607498462463516,IM2,mad
0.10904287381048304,IM2,mad
0.1294617884102487,IM2,mad
0.09212409983150664,IM2,mad
0.0562445078892844,IM2,mobj
0.04421272507582138,IM2,mobj
0.04105565419481201,IM2,mobj
0.0642469045200834,IM2,mobj
0.0354305380665905,IM2,mobj
0.045118276330221536,IM2,mobj
0.043585168824701925,IM2,mobj
0.042343698343922785,IM2,mobj
0.05526682814584066,IM2,mobj
0.04428693106570207,IM2,mobj
