value,metric,method
5.0,categorical proximity,certifai
3.0,categorical proximity,certifai
3.0,categorical proximity,certifai
2.0,categorical proximity,certifai
3.0,categorical proximity,certifai
2.0,categorical proximity,certifai
3.0,categorical proximity,certifai
4.0,categorical proximity,mad
3.0,categorical proximity,mad
3.0,categorical proximity,mad
3.0,categorical proximity,mad
4.0,categorical proximity,mad
4.0,categorical proximity,mad
2.0,categorical proximity,mad
3.0,categorical proximity,mad
3.0,categorical proximity,mad
3.0,categorical proximity,mad
6.0,categorical proximity,mobj
4.0,categorical proximity,mobj
5.0,categorical proximity,mobj
5.0,categorical proximity,mobj
6.0,categorical proximity,mobj
6.0,categorical proximity,mobj
4.0,categorical proximity,mobj
5.0,categorical proximity,mobj
4.0,categorical proximity,mobj
4.0,categorical proximity,mobj
