value,method
0.047669257909362966,certifai
0.3037601341906626,certifai
0.2866443236599547,certifai
0.5042913055633212,certifai
0.11194140408708703,certifai
0.3471036548937398,certifai
0.040974210275925904,certifai
,certifai
,certifai
,certifai
0.45033547665641604,mad
0.45718479172490917,mad
0.35444506569751194,mad
0.5042913055633212,mad
0.45410958904109594,mad
0.6109449259155717,mad
0.4472602739726028,mad
0.4590718479172491,mad
0.5717360916969528,mad
0.4982806821358681,mad
0.21381462139506857,mobj
0.22607234327185433,mobj
0.2724010169340796,mobj
0.404172549179855,mobj
0.21559455083761248,mobj
0.3989201045928888,mobj
0.02508737237067396,mobj
0.23638775736228718,mobj
0.22276906674813687,mobj
0.210285319207564,mobj
