value,method
0.1951918899861224,certifai
0.2461460990827176,certifai
0.2705402123763239,certifai
0.3066841123704661,certifai
0.24316987870322648,certifai
0.2091056602283347,certifai
0.27676808390597213,certifai
0.26750478593010113,certifai
0.1859838827546603,certifai
0.17397180521085076,certifai
0.32545389786818607,mad
0.31832944665424373,mad
0.2976674043208215,mad
0.21721989344370163,mad
0.22560830775786703,mad
0.30167943856792073,mad
0.331266176265248,mad
0.249300024363321,mad
0.2707174407049505,mad
0.2729947824149047,mad
0.11300701950600428,mobj
0.08132347387272051,mobj
0.08996427695736132,mobj
0.09587249553039603,mobj
0.08914240418873762,mobj
0.08376888097914378,mobj
0.07484314495115475,mobj
0.09296877793525615,mobj
0.09045155378338315,mobj
0.09560456917968445,mobj
