value,method
0.05569396325193846,certifai
0.09722734274428069,certifai
0.04330359085826596,certifai
0.09456942654357238,certifai
0.04655696486416577,certifai
0.1037670393943419,certifai
0.1418635094352171,certifai
0.1386762779079403,certifai
0.19548956182237034,certifai
0.02745802297875871,certifai
0.16464619342799133,mad
0.23830143280559304,mad
0.1506817017283851,mad
0.12516838838430916,mad
0.06133045267337354,mad
0.2547158759201668,mad
0.3155130208770602,mad
0.16915674375127487,mad
0.1864220962046602,mad
0.0797300989299845,mad
0.028963113908171707,mobj
0.022687606026108902,mobj
0.012739364277062681,mobj
0.024528831814416157,mobj
0.01174701679449075,mobj
0.059371493751186256,mobj
0.028794328128934666,mobj
0.0654270594947578,mobj
0.054342392546658756,mobj
0.01904605753429639,mobj
