method,metric,value
mobj,target valid,1.0
mobj,categorical proximity,5.0
mobj,continuous proximity,0.17637699709645735
mobj,causal validity,1.0
mobj,IM1,0.9516760069399159
mobj,IM2,0.0
mobj,target valid,1.0
mobj,categorical proximity,4.5
mobj,continuous proximity,0.19418811063743557
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00043408041001973625
mobj,target valid,1.0
mobj,categorical proximity,4.333333333333333
mobj,continuous proximity,0.19399000874887062
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.05287378263589615
mobj,target valid,1.0
mobj,categorical proximity,4.25
mobj,continuous proximity,0.23790117414993567
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.08200281398287027
mobj,target valid,1.0
mobj,categorical proximity,4.4
mobj,continuous proximity,0.23228498039641843
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.01418279675549081
mobj,target valid,1.0
mobj,categorical proximity,4.5
mobj,continuous proximity,0.2584283788181724
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.011783981018804705
mobj,target valid,1.0
mobj,categorical proximity,4.285714285714286
mobj,continuous proximity,0.22790278322126686
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.013245768122659967
mobj,target valid,1.0
mobj,categorical proximity,4.25
mobj,continuous proximity,0.2461154405009176
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00028047391383651725
mobj,target valid,1.0
mobj,categorical proximity,4.222222222222222
mobj,continuous proximity,0.25033895203885775
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0005670556050427898
mobj,target valid,1.0
mobj,categorical proximity,4.1
mobj,continuous proximity,0.24441731149948565
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00044370054519451757
mobj,target valid,1.0
mobj,categorical proximity,4.090909090909091
mobj,continuous proximity,0.23830862042211268
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.037813791887249926
mobj,target valid,1.0
mobj,categorical proximity,4.166666666666667
mobj,continuous proximity,0.23310343721829752
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.005532543494618981
mobj,target valid,1.0
mobj,categorical proximity,4.076923076923077
mobj,continuous proximity,0.22860121749828002
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.009869064187261202
mobj,target valid,1.0
mobj,categorical proximity,4.071428571428571
mobj,continuous proximity,0.22450288914132657
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.006538432686596927
mobj,target valid,1.0
mobj,categorical proximity,4.066666666666666
mobj,continuous proximity,0.22278357574842683
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00029399198259236827
mobj,target valid,1.0
mobj,categorical proximity,4.0
mobj,continuous proximity,0.22274967428789802
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0071375253797199
mobj,target valid,1.0
mobj,categorical proximity,3.9411764705882355
mobj,continuous proximity,0.22425688152980533
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.02169813446629871
mobj,target valid,1.0
mobj,categorical proximity,3.9444444444444446
mobj,continuous proximity,0.2129799286104399
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00023493788944674288
mobj,target valid,1.0
mobj,categorical proximity,4.0
mobj,continuous proximity,0.20528002685567026
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0001480871407648587
mobj,target valid,1.0
mobj,categorical proximity,3.95
mobj,continuous proximity,0.20023491314691197
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.020546875506099717
mobj,target valid,1.0
mobj,categorical proximity,3.9523809523809526
mobj,continuous proximity,0.20146830113611425
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0001921295289296797
mobj,target valid,1.0
mobj,categorical proximity,4.0
mobj,continuous proximity,0.19483234835053315
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,5.2871220829956544e-05
mobj,target valid,1.0
mobj,categorical proximity,4.043478260869565
mobj,continuous proximity,0.18960474255668117
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00018205630343861112
mobj,target valid,1.0
mobj,categorical proximity,4.083333333333333
mobj,continuous proximity,0.19850392649240792
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00282892655233135
mobj,target valid,1.0
mobj,categorical proximity,4.0
mobj,continuous proximity,0.19758384321784905
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0001828960865651676
mobj,target valid,1.0
mobj,categorical proximity,4.0
mobj,continuous proximity,0.20071927504704384
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00014162692903253743
mobj,target valid,1.0
mobj,categorical proximity,4.037037037037037
mobj,continuous proximity,0.2061133846291982
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0026634124198997235
mobj,target valid,1.0
mobj,categorical proximity,4.035714285714286
mobj,continuous proximity,0.2062490691664069
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00016722197666695407
mobj,target valid,1.0
