method,metric,value,emb_size
mobj,target valid,1.0,32.0
mobj,continuous proximity,0.09232852946451374,32.0
mobj,causal validity,0.6,32.0
mobj,IM1,0.18704125849030678,32.0
mobj,IM2,0.004640359813945635,32.0
mobj,target valid,1.0,64.0
mobj,continuous proximity,0.09402667748822642,64.0
mobj,causal validity,0.3,64.0
mobj,IM1,0.15622824535695268,64.0
mobj,IM2,0.004937845216722166,64.0
mobj,target valid,1.0,128.0
mobj,continuous proximity,0.09341920527058542,128.0
mobj,causal validity,0.5,128.0
mobj,IM1,0.16896221684451226,128.0
mobj,IM2,0.0066396680549285535,128.0
mobj,target valid,1.0,256.0
mobj,continuous proximity,0.08874932931627263,256.0
mobj,causal validity,0.5,256.0
mobj,IM1,0.16732436429641023,256.0
mobj,IM2,0.0050270496525352,256.0
mobj,target valid,1.0,512.0
mobj,continuous proximity,0.08885467928554054,512.0
mobj,causal validity,0.4,512.0
mobj,IM1,0.1844452458204931,512.0
mobj,IM2,0.004962196983692131,512.0
