method,metric,value,emb_size
mobj,target valid,1.0,32.0
mobj,continuous proximity,0.027039372495500397,32.0
mobj,causal validity,1.0,32.0
mobj,IM1,0.04292462812649994,32.0
mobj,IM2,0.0036229285528068785,32.0
mobj,target valid,1.0,64.0
mobj,continuous proximity,0.026889781651208883,64.0
mobj,causal validity,1.0,64.0
mobj,IM1,0.04228304061936332,64.0
mobj,IM2,0.0037586454244937137,64.0
mobj,target valid,1.0,128.0
mobj,continuous proximity,0.025482092904591885,128.0
mobj,causal validity,1.0,128.0
mobj,IM1,0.04092357459566072,128.0
mobj,IM2,0.0035251732553444083,128.0
mobj,target valid,1.0,256.0
mobj,continuous proximity,0.03441533838084904,256.0
mobj,causal validity,1.0,256.0
mobj,IM1,0.041482031656626325,256.0
mobj,IM2,0.003668470914983227,256.0
mobj,target valid,1.0,512.0
mobj,continuous proximity,0.029828788367016797,512.0
mobj,causal validity,1.0,512.0
mobj,IM1,0.04629482698982865,512.0
mobj,IM2,0.003641440026639605,512.0
