value,metric,method
2.3191634046437657,IM1,cer
2.104606841662179,IM1,cer
2.5496357506762033,IM1,cer
3.649998449707636,IM1,cer
1.9988060062577133,IM1,cer
2.022744611329072,IM1,cer
2.141061126259908,IM1,cer
3.5404157757310566,IM1,cer
2.273526192030776,IM1,cer
2.1678958994194284,IM1,cer
2.543619635146865,IM1,mad
2.0424062998651435,IM1,mad
2.426943664986881,IM1,mad
2.803724571254957,IM1,mad
3.1229330652909133,IM1,mad
2.377965722629639,IM1,mad
2.2219426228384327,IM1,mad
1.92020003471808,IM1,mad
2.590162003860932,IM1,mad
2.0044522818576276,IM1,mad
2.131951238542667,IM1,mobj
3.9028197729188423,IM1,mobj
2.245744076738228,IM1,mobj
2.864919791094486,IM1,mobj
2.500583918391093,IM1,mobj
2.9714591524014597,IM1,mobj
2.888588900600038,IM1,mobj
2.1249171871799137,IM1,mobj
2.100007293648294,IM1,mobj
2.390147927567369,IM1,mobj
