value,metric,method
0.002508186525538981,IM2,cer
0.18899060321724045,IM2,cer
0.34824176342403446,IM2,cer
0.2324759907093278,IM2,cer
0.09260387445419004,IM2,cer
0.0663807791780621,IM2,cer
0.3597131984454569,IM2,cer
0.003874081530337544,IM2,mad
0.06857241329731999,IM2,mad
0.26531574244730155,IM2,mad
0.20267557522472512,IM2,mad
0.2642884030814184,IM2,mad
0.09067589047784173,IM2,mad
0.11121526838794418,IM2,mad
0.09689831504722342,IM2,mad
0.14925470097139848,IM2,mad
0.16142829155560012,IM2,mad
0.001723499875088793,IM2,mobj
0.41180628931825236,IM2,mobj
0.004437327320060885,IM2,mobj
0.33732561335598504,IM2,mobj
0.07623786561250713,IM2,mobj
0.07592745581053198,IM2,mobj
0.14803953144426724,IM2,mobj
0.3531284725105137,IM2,mobj
0.002756805584126892,IM2,mobj
0.06672421498198676,IM2,mobj
