value,metric,method
0.04918004818629873,IM2,cer
0.05314439479961561,IM2,cer
0.043854974786577336,IM2,cer
0.019902003285002193,IM2,cer
0.04144728066232602,IM2,cer
0.17962038769578229,IM2,cer
0.03474138448291237,IM2,cer
0.06344683901032454,IM2,cer
0.06318386716275817,IM2,cer
0.022283981358321433,IM2,cer
0.03243699366856855,IM2,mad
0.03243699366856855,IM2,mad
0.07178107543442641,IM2,mad
0.1552885411830766,IM2,mad
0.04041289223304001,IM2,mad
0.2857117520747347,IM2,mad
0.2648121380422317,IM2,mad
0.07193856408654119,IM2,mad
0.07804417412653124,IM2,mad
0.06891217581524245,IM2,mad
0.05146788709909501,IM2,mobj
0.05105563692227446,IM2,mobj
0.05648992219108987,IM2,mobj
0.08331003303498878,IM2,mobj
0.03969169994403809,IM2,mobj
0.16341482568344545,IM2,mobj
0.11882466302514237,IM2,mobj
0.06151526582536394,IM2,mobj
0.37749783546196247,IM2,mobj
0.04036564718611203,IM2,mobj
