age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
59.0,Government,Bachelors,Married,White-Collar,White,Male,40.0,0.974
38.0,Private,Prof-school,Married,Blue-Collar,White,Male,40.0,0.978
53.0,Private,Prof-school,Married,Blue-Collar,Other,Male,42.0,0.972
49.0,Private,Prof-school,Married,Service,Other,Female,16.0,0.799
31.0,Private,Masters,Married,Professional,White,Female,50.0,0.928
38.0,Private,Bachelors,Married,White-Collar,White,Female,30.0,0.887
38.0,Private,Assoc,Married,Sales,Other,Male,50.0,0.815
36.0,Private,Assoc,Married,Blue-Collar,Other,Male,36.0,0.315
35.0,Private,Prof-school,Married,Blue-Collar,Other,Male,45.0,0.957
43.0,Self-Employed,Prof-school,Married,Blue-Collar,White,Male,35.0,0.954
40.0,Private,Prof-school,Married,Blue-Collar,White,Male,41.0,0.98
57.0,Private,Prof-school,Married,Sales,White,Male,67.0,0.994
